LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_AUTHOR,PLUGIN_STATUS,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_VERSION,PLUGIN_MATURITY,PLUGIN_DESCRIPTION,PLUGIN_AUTH_VERSION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
FORCE,STORAGE ENGINE,1.0,MySQL AB,100512.0,GPL,binlog,<blank>,ACTIVE,This is a pseudo storage engine to represent the binlog in a transaction,1.0,<blank>,Stable
FORCE,AUTHENTICATION,1.0,"R.J.Silk, Sergei Golubchik",2.2,GPL,mysql_native_password,<blank>,ACTIVE,Native MySQL authentication,1.0,<blank>,Stable
FORCE,AUTHENTICATION,1.0,"R.J.Silk, Sergei Golubchik",2.2,GPL,mysql_old_password,<blank>,ACTIVE,Old MySQL-4.0 authentication,1.0,<blank>,Stable
FORCE,STORAGE ENGINE,1.0,MySQL AB,100512.0,GPL,MEMORY,<blank>,ACTIVE,"Hash based, stored in memory, useful for temporary tables",1.0,<blank>,Stable
FORCE,STORAGE ENGINE,1.5,MariaDB Corporation Ab,100512.0,GPL,Aria,<blank>,ACTIVE,Crash-safe tables with MyISAM heritage. Used for internal temporary tables and privilege tables,1.5,<blank>,Stable
FORCE,STORAGE ENGINE,1.0,MySQL AB,100512.0,GPL,MRG_MyISAM,<blank>,ACTIVE,Collection of identical MyISAM tables,1.0,<blank>,Stable
FORCE,STORAGE ENGINE,1.0,MySQL AB,100512.0,GPL,MyISAM,<blank>,ACTIVE,Non-transactional engine with good performance and small data footprint,1.0,<blank>,Stable
FORCE,STORAGE ENGINE,1.0,"Brian Aker, MySQL AB",100512.0,GPL,CSV,<blank>,ACTIVE,Stores tables as CSV files,1.0,<blank>,Stable
FORCE,INFORMATION SCHEMA,1.0,MariaDB,100512.0,GPL,SPATIAL_REF_SYS,<blank>,ACTIVE,Lists all geometry columns,1.0,<blank>,Stable
FORCE,INFORMATION SCHEMA,1.0,MariaDB,100512.0,GPL,GEOMETRY_COLUMNS,<blank>,ACTIVE,Lists all geometry columns,1.0,<blank>,Stable
FORCE,DATA TYPE,1.0,MariaDB Corporation,100512.0,GPL,inet6,<blank>,ACTIVE,Data type INET6,1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,inet_aton,<blank>,ACTIVE,Function INET_ATON(),1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,inet_ntoa,<blank>,ACTIVE,Function INET_NTOA(),1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,inet6_aton,<blank>,ACTIVE,Function INET6_ATON(),1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,inet6_ntoa,<blank>,ACTIVE,Function INET6_NTOA(),1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,is_ipv4,<blank>,ACTIVE,Function IS_IPV4(),1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,is_ipv6,<blank>,ACTIVE,Function IS_IPV6(),1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,is_ipv4_compat,<blank>,ACTIVE,Function IS_IPV4_COMPAT(),1.0,<blank>,Stable
FORCE,FUNCTION,1.0,MariaDB Corporation,100512.0,GPL,is_ipv4_mapped,<blank>,ACTIVE,Function IS_IPV4_MAPPED(),1.0,<blank>,Stable
FORCE,INFORMATION SCHEMA,2.0,Percona and Sergei Golubchik,100512.0,GPL,CLIENT_STATISTICS,<blank>,ACTIVE,Client Statistics,2.0,<blank>,Stable
FORCE,INFORMATION SCHEMA,2.0,Percona and Sergei Golubchik,100512.0,GPL,INDEX_STATISTICS,<blank>,ACTIVE,Index Statistics,2.0,<blank>,Stable
FORCE,INFORMATION SCHEMA,2.0,Percona and Sergei Golubchik,100512.0,GPL,TABLE_STATISTICS,<blank>,ACTIVE,Table Statistics,2.0,<blank>,Stable
FORCE,INFORMATION SCHEMA,2.0,Percona and Sergei Golubchik,100512.0,GPL,USER_STATISTICS,<blank>,ACTIVE,User Statistics,2.0,<blank>,Stable
FORCE,REPLICATION,1.0,Codership Oy,2.0,GPL,wsrep,<blank>,ACTIVE,Wsrep replication plugin,1.0,<blank>,Stable
FORCE,STORAGE ENGINE,1.0,jianwei.zhao @ Aliyun & Monty @ MariaDB corp,100512.0,GPL,SQL_SEQUENCE,<blank>,ACTIVE,Sequence Storage Engine for CREATE SEQUENCE,1.0,<blank>,Stable
ON,STORAGE ENGINE,1.0,Sergei Golubchik,100512.0,GPL,SEQUENCE,<blank>,ACTIVE,Generated tables filled with sequential values,0.1,<blank>,Stable
ON,STORAGE ENGINE,10.5,Oracle Corporation,100512.0,GPL,InnoDB,<blank>,ACTIVE,"Supports transactions, row-level locking, foreign keys and encryption for tables",10.5.12,<blank>,Stable
ON,INFORMATION SCHEMA,10.5,Oracle Corporation,100512.0,GPL,INNODB_TRX,<blank>,ACTIVE,InnoDB transactions,10.5.12,<blank>,Stable
ON,INFORMATION SCHEMA,10.5,Oracle Corporation,100512.0,GPL,INNODB_LOCKS,<blank>,ACTIVE,InnoDB conflicting locks,10.5.12,<blank>,Stable
